path_prefix,signal_type,signal_role,influx_path,tag_name_resolved,tag_description_resolved,level2_name,level3_name,functional_role,semantic_var,Opis (Znaczenie fizyczne),alarm_konfig_status,score_l2,score_l3
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnFirstProbe,VMan,Manual,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnFirstProbe/VMan/Actual,VALEnFirstProbe,First probe alarm low,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnFirstProbe,VOut,SP,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnFirstProbe/VOut/Actual,VALEnFirstProbe,First probe alarm low,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnSecondProbe,VFbk,PV,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnSecondProbe/VFbk/Actual,VALEnSecondProbe,Second probe alarm low,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnSecondProbe,VMan,Manual,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnSecondProbe/VMan/Actual,VALEnSecondProbe,Second probe alarm low,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnSecondProbe,VOut,SP,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnSecondProbe/VOut/Actual,VALEnSecondProbe,Second probe alarm low,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnThirdProbe,VFbk,PV,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnThirdProbe/VFbk/Actual,VALEnThirdProbe,Third probe alarm low,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnThirdProbe,VMan,Manual,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnThirdProbe/VMan/Actual,VALEnThirdProbe,Third probe alarm low,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnThirdProbe,VOut,SP,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnThirdProbe/VOut/Actual,VALEnThirdProbe,Third probe alarm low,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/measurementFirstProbe,V,Value,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/measurementFirstProbe/V/Actual,measurementFirstProbe,Probe - not connected,Output/SoftSensorpH_01/o_pH_mod,softsensorph/out_softsensorph_ph_est,pH,ph_value,G?ówna estymacja pH w nowym silniku.,TAK,1.0,1.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/measurementSecondProbe,V,Value,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/measurementSecondProbe/V/Actual,measurementSecondProbe,Probe - not connected,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/measurementThirdProbe,V,Value,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/measurementThirdProbe/V/Actual,measurementThirdProbe,Probe - not connected,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/moduleIdentificationTrigger,VFbk,PV,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/moduleIdentificationTrigger/VFbk/Actual,moduleIdentificationTrigger,Module Identification Trigger,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/moduleIdentificationTrigger,VMan,Manual,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/moduleIdentificationTrigger/VMan/Actual,moduleIdentificationTrigger,Module Identification Trigger,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/moduleIdentificationTrigger,VOut,SP,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/moduleIdentificationTrigger/VOut/Actual,moduleIdentificationTrigger,Module Identification Trigger,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/qualityIndicator,V,Value,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/qualityIndicator/V/Actual,qualityIndicator,Quality Indicator,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/gasTemp,V,Value,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/gasTemp/V/Actual,gasTemp,Gas temperature,,,,gas_temperature,,NIE,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/interlockSwitch,VFbk,PV,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/interlockSwitch/VFbk/Actual,interlockSwitch,Interlock switch,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/interlockSwitch,VMan,SP,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/interlockSwitch/VMan/Setpoint,interlockSwitch,Interlock switch,,,,,,TAK,0.0,0.0
