influx_path,level2_name,level3_name
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/rpmHighEn/VFbk/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/rpmHighEn/VMan/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/rpmHighEn/VOut/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/rpmLowEn/VFbk/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/rpmLowEn/VMan/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/rpmLowEn/VOut/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/safePosSwitch/VFbk/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/safePosSwitch/VMan/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/safePosSwitch/VOut/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/temperature/V/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/totaliser/V/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/totaliserReset/VFbk/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/totaliserReset/VMan/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/totaliserReset/VOut/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/tubeDescription/VFbk/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/tubeDescription/VMan/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/tubeDescription/VOut/Actual,,
devices/b1a6d61d-c7a3-4cff-a509-74823026733c/mtp/objects/Sensor5/VAHEn/VFbk/Actual,,
devices/b1a6d61d-c7a3-4cff-a509-74823026733c/mtp/objects/Sensor5/VAHEn/VMan/Actual,,
devices/b1a6d61d-c7a3-4cff-a509-74823026733c/mtp/objects/Sensor5/VAHEn/VOut/Actual,,
devices/b1a6d61d-c7a3-4cff-a509-74823026733c/mtp/objects/Sensor5/VALEn/VFbk/Actual,,
devices/b1a6d61d-c7a3-4cff-a509-74823026733c/mtp/objects/Sensor5/VALEn/VMan/Actual,,
devices/b1a6d61d-c7a3-4cff-a509-74823026733c/mtp/objects/Sensor5/VALEn/VOut/Actual,,
devices/b1a6d61d-c7a3-4cff-a509-74823026733c/mtp/objects/Sensor5/measurementFirstProbe/V/Actual,,
devices/b1a6d61d-c7a3-4cff-a509-74823026733c/mtp/objects/Sensor5/moduleIdentificationTrigger/VFbk/Actual,,
devices/b1a6d61d-c7a3-4cff-a509-74823026733c/mtp/objects/Sensor5/moduleIdentificationTrigger/VMan/Actual,,
devices/b1a6d61d-c7a3-4cff-a509-74823026733c/mtp/objects/Sensor5/moduleIdentificationTrigger/VOut/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VAHEnFirstProbe/VFbk/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VAHEnFirstProbe/VMan/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VAHEnFirstProbe/VOut/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VAHEnSecondProbe/VFbk/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VAHEnSecondProbe/VMan/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VAHEnSecondProbe/VOut/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VAHEnThirdProbe/VFbk/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VAHEnThirdProbe/VMan/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VAHEnThirdProbe/VOut/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VALEnFirstProbe/VFbk/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VALEnFirstProbe/VMan/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VALEnFirstProbe/VOut/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VALEnSecondProbe/VFbk/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VALEnSecondProbe/VMan/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VALEnSecondProbe/VOut/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VALEnThirdProbe/VFbk/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VALEnThirdProbe/VMan/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/VALEnThirdProbe/VOut/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/measurementFirstProbe/V/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/measurementSecondProbe/V/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/measurementThirdProbe/V/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/moduleIdentificationTrigger/VFbk/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/moduleIdentificationTrigger/VMan/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/moduleIdentificationTrigger/VOut/Actual,,
devices/c6444729-56d5-4510-a365-f7dabcb2069c/mtp/objects/Sensor6/qualityIndicator/V/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VAHEnFirstProbe/VFbk/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VAHEnFirstProbe/VMan/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VAHEnFirstProbe/VOut/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VAHEnSecondProbe/VFbk/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VAHEnSecondProbe/VMan/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VAHEnSecondProbe/VOut/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VAHEnThirdProbe/VFbk/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VAHEnThirdProbe/VMan/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VAHEnThirdProbe/VOut/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VALEnFirstProbe/VFbk/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VALEnFirstProbe/VMan/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VALEnFirstProbe/VOut/Actual,,
devices/d119c456-717a-4aa2-af0a-1d6d41f69d69/mtp/objects/Sensor4/VALEnSecondProbe/VFbk/Actual,,
